Title	URL	Assignees	Status	Estimated size	Real size
Preprocessing of 3W_Dataset	https://github.com/amosproj/amos2025ws03-rtdip-timeseries-forecasting/issues/98		Product Backlog		
Refactor Wiki	https://github.com/amosproj/amos2025ws03-rtdip-timeseries-forecasting/issues/97		Product Backlog		
Add Visualization Component for Timeseries Decomposition	https://github.com/amosproj/amos2025ws03-rtdip-timeseries-forecasting/issues/78		Product Backlog		
Assessment of Robustness and long time predictions	https://github.com/amosproj/amos2025ws03-rtdip-timeseries-forecasting/issues/88		Product Backlog		
Hyperparameter Optimization	https://github.com/amosproj/amos2025ws03-rtdip-timeseries-forecasting/issues/99		Product Backlog		
Preprocessing of PSML Dataset	https://github.com/amosproj/amos2025ws03-rtdip-timeseries-forecasting/issues/75		Product Backlog		
Timeseries Forecasting Improvement with Exogenous Variables	https://github.com/amosproj/amos2025ws03-rtdip-timeseries-forecasting/issues/84		Product Backlog		
Timeseries Forecasting Improvement with Feature Engineering	https://github.com/amosproj/amos2025ws03-rtdip-timeseries-forecasting/issues/85		Product Backlog		
Model Training and Evaluation of Dataset EIA (paused)	https://github.com/amosproj/amos2025ws03-rtdip-timeseries-forecasting/issues/52		Product Backlog		
Getting to Know HPC of AMOS	https://github.com/amosproj/amos2025ws03-rtdip-timeseries-forecasting/issues/23	hpfref, Mehdi-kbz, Perimora, simonselbig	Sprint Backlog	2	
Integrate Timeseries Forecasting Results Visualization into the SDK	https://github.com/amosproj/amos2025ws03-rtdip-timeseries-forecasting/issues/76	simonselbig	Awaiting Review	3	
Document previous features in the software architecture	https://github.com/amosproj/amos2025ws03-rtdip-timeseries-forecasting/issues/89	simonselbig	Awaiting Review	2	
Adjusting previous features to base enviroment	https://github.com/amosproj/amos2025ws03-rtdip-timeseries-forecasting/issues/87	hpfref	Awaiting Review	2	
Base Environment	https://github.com/amosproj/amos2025ws03-rtdip-timeseries-forecasting/issues/86	Perimora	Awaiting Review	8	
Add Visualization Component for Anomaly Detection	https://github.com/amosproj/amos2025ws03-rtdip-timeseries-forecasting/issues/77	Perimora	Awaiting Review	2	
