iter	RMSE
0	648.1804997
1	619.1597785
2	591.5538326
3	565.3112375
4	540.3151533
5	516.3928463
6	494.2503217
7	472.9118067
8	452.5242805
9	433.5954722
10	415.5698927
11	398.5450693
12	382.6125773
13	367.4884276
14	352.8734485
15	339.3263482
16	326.3954555
17	314.1838754
18	302.7153239
19	292.2587174
20	282.3833028
21	272.8141063
22	264.1566401
23	256.2121372
24	248.4325253
25	241.1753746
26	234.3127627
27	227.9251532
28	221.9379156
29	216.507634
30	211.2740378
31	206.544738
32	202.1763934
33	198.0814374
34	194.1975564
35	190.676075
36	187.465022
37	184.5439183
38	181.7342596
39	179.1261813
40	176.7496788
41	174.5492448
42	172.584194
43	170.732475
44	169.0759464
45	167.4486789
46	166.0541973
47	164.7374801
48	163.453715
49	162.3209593
50	161.2918873
51	160.3731955
52	159.5494973
53	158.7590257
54	157.9740115
55	157.2961367
56	156.6871468
57	156.0819984
58	155.6059381
59	155.160196
60	154.7314826
61	154.2995618
62	153.87719
63	153.5191022
64	153.1591026
65	152.855131
66	152.5527471
67	152.2652111
68	151.987738
69	151.7727907
70	151.5733503
71	151.3815372
72	151.1942701
73	150.9956872
74	150.8255059
75	150.6773
76	150.544461
77	150.3710748
78	150.1871324
79	150.0656513
80	149.8740202
81	149.7345486
82	149.5981684
83	149.4764673
84	149.3062042
85	149.2001936
86	149.077064
87	148.9555993
88	148.8270002
89	148.7424744
90	148.6885362
91	148.603174
92	148.5043948
93	148.4086233
94	148.3386118
95	148.2728835
96	148.2075155
97	148.1382871
98	148.0910899
99	147.9778752
100	147.9004551
101	147.8470968
102	147.809565
103	147.7567657
104	147.7149199
105	147.6198853
106	147.5534202
107	147.431784
108	147.3920954
109	147.3438995
110	147.2590082
111	147.1894375
112	147.1118237
113	146.9931163
114	146.9487277
115	146.9002771
116	146.8065129
117	146.7431338
118	146.6820171
119	146.6527285
120	146.5740109
121	146.5017847
122	146.4346787
123	146.3781483
124	146.306634
125	146.2678734
126	146.2024433
127	146.0940917
128	145.991329
129	145.947421
130	145.8687603
131	145.8426401
132	145.7545098
133	145.6891188
134	145.5769547
135	145.5110043
136	145.4807134
137	145.4237202
138	145.3673845
139	145.3279476
140	145.2609111
141	145.1886447
142	145.1356869
143	145.1041275
144	145.0715187
145	145.0017935
146	144.9636516
147	144.9315235
148	144.8750162
149	144.8416337
150	144.7533733
151	144.6945161
152	144.5740012
153	144.5306432
154	144.4934046
155	144.4375013
156	144.3652641
157	144.3039048
158	144.2337208
159	144.1869165
160	144.1557897
161	144.1272768
162	144.0299113
163	143.9567649
164	143.9256078
165	143.8748698
166	143.7815909
167	143.7241486
168	143.6496002
169	143.6170867
170	143.5682894
171	143.4984983
172	143.4453563
173	143.3958244
174	143.3743729
175	143.3592661
176	143.3156661
177	143.2856589
178	143.2293823
179	143.1989038
180	143.1438565
181	143.0614088
182	143.0232404
183	142.964922
184	142.8808945
185	142.8429196
186	142.8172908
187	142.7584346
188	142.6755123
189	142.6235408
190	142.5367797
191	142.505462
192	142.4799853
193	142.4462046
194	142.427161
195	142.3670631
196	142.3158949
197	142.2834551
198	142.2533727
199	142.2237763
200	142.1931189
201	142.161278
202	142.0781327
203	141.9691382
204	141.9378278
205	141.8407846
206	141.7721542
207	141.7342682
208	141.6777689
209	141.6484814
210	141.6139613
211	141.5336518
212	141.4998929
213	141.4300856
214	141.3858171
215	141.3602153
216	141.3078651
217	141.2740215
218	141.2391643
219	141.1710247
220	141.1115402
221	141.0691286
222	141.0277272
223	140.9624686
224	140.9390391
225	140.9128413
226	140.8166111
227	140.7201832
228	140.6934271
229	140.6610518
230	140.6400501
231	140.5416477
232	140.5145164
233	140.492361
234	140.4379091
235	140.4191101
236	140.3861785
237	140.3408075
238	140.3045999
239	140.2793416
240	140.1691639
241	140.1535355
242	140.1101029
243	140.0818121
244	140.0437517
245	139.9824773
246	139.9604868
247	139.851791
248	139.7846953
249	139.681917
