iter	Passed	Remaining
0	0	9
1	0	7
2	0	6
3	0	5
4	0	4
5	1	4
6	1	4
7	1	4
8	1	3
9	1	3
10	1	3
11	2	3
12	2	2
13	2	2
14	2	2
15	2	2
16	2	2
17	2	1
18	2	1
19	3	1
20	3	1
21	3	1
22	3	1
23	4	1
24	4	0
25	4	0
26	4	0
27	4	0
28	4	0
29	5	0
