iter	RMSE
0	6.674581524
1	6.209796354
2	5.876540981
3	5.570826509
4	5.252274637
5	4.970167764
6	4.722617219
7	4.534954049
8	4.306423578
9	4.080390166
10	3.849615702
11	3.674879188
12	3.484374874
13	3.317422891
14	3.170849181
15	3.039924837
16	2.917956433
17	2.800904333
18	2.678151291
19	2.596905606
20	2.505395781
21	2.415340549
22	2.351113474
23	2.253180193
24	2.192364047
25	2.131781721
26	2.061880872
27	2.004072995
28	1.937372646
29	1.885293085
